Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Nick O'Leary,MIA,Florida State,3,2015,6,18,0,0,0,0,0,0,0,13,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,0,TE
James O'Shaughnessy,JAC,Illinois State,4,2015,5,37,0,0,0,0,0,0,0,15,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,TE
Clive Walford,NYJ,Miami (FL),4,2015,3,4,0,0,0,0,0,0,0,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,TE
Dion Sims,CHI,Michigan State,6,2013,4,9,0,0,0,0,0,0,0,14,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,TE
Jerell Adams,HOU,South Carolina,3,2016,6,9,0,0,0,0,0,0,0,14,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,TE
Josh Hill,NOR,Idaho State,6,2013,0,0,0,0,0,0,0,0,0,15,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,TE
Jordan Thomas,HOU,Mississippi State,0,2018,6,37,0,0,0,0,0,0,0,14,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,TE
Dalton Schultz,DAL,Stanford,0,2018,4,37,0,0,0,0,0,0,0,12,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,TE
Daniel Brown,CHI,James Madison,4,2015,0,0,0,0,0,0,0,0,0,15,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,TE
Derek Carrier,OAK,Beloit College,6,2012,0,0,0,0,0,0,0,0,0,11,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,TE
Stephen Anderson,NWE,California,3,2016,0,0,0,0,0,0,0,0,0,13,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,0,TE
Will Dissly,SEA,Washington,0,2018,4,20,0,0,0,0,0,0,0,11,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,TE
Durham Smythe,MIA,Notre Dame,0,2018,4,23,0,0,0,0,0,0,0,10,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,TE
Jeremy Sprinkle,WAS,Arkansas,2,2017,5,10,0,0,0,0,0,0,0,10,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,TE
Anthony Fasano,MIA,Notre Dame,13,2006,2,21,0,0,0,0,0,0,0,9,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,TE
Ben Koyack,JAC,Notre Dame,3,2015,7,12,0,0,0,0,0,0,0,9,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,TE
Zach Miller,CHI,Nebraska Omaha,8,2009,6,7,0,0,0,0,0,0,0,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,TE
Ryan Izzo,NWE,Florida State,0,2018,7,32,0,0,0,0,0,0,0,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,TE
Jack Doyle,IND,Western Kentucky,6,2013,0,0,0,0,0,0,0,0,0,60,609,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.9,0,TE
Coby Fleener,---,Stanford,7,2012,2,2,0,0,0,0,0,0,0,31,394,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4,0,TE
Hunter Henry,LAC,Arkansas,3,2016,2,4,0,0,0,0,0,0,0,59,737,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.37,0,TE
Julius Thomas,---,Portland State,8,2011,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,TE
