Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"DeAndrew White, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kaelin Clay, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Justin Hardy, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Tre McBride III, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dezmin Lewis, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Quan Bray, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Sammie Coates, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Devin Smith, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Evan Spencer, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeVante Parker, Mia WR",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jamison Crowder, Wsh WR",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Rashad Greene Sr., Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Tyler Lockett, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Conley, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Phillip Dorsett, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dorial Green-Beckham, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Nelson Agholor, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Breshad Perriman, Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Stefon Diggs, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Amari Cooper, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Devin Funchess, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kevin White, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jaelen Strong, Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Vince Mayle, Bal WR, TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Mario Alford, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeAndre Smelter, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Duron Carter, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Antwan Goodley, GB WR",@Chi,W 23-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Matthews, Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Seantavius Jones, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cameron Meredith, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Bennie Fowler III, Den WR",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Lucky Whitehead, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Adam Humphries, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Quincy Enunwa, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Matt Hazel, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Seth Roberts, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Tyrell Williams, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Harper, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Tyler Murphy, Mia WR",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Bradley Marquez, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Donteea Dye, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Javontee Herndon, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eric Rogers, SF WR",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Corey Coleman, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Will Fuller V, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Josh Doctson, Wsh WR",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Laquon Treadwell, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
